State,Pollutant,Parameter_Code,Average_Concentration,Max_Concentration,Total_Measurements,Monitoring_Sites,Units
Pennsylvania,O3,44201,0.02896,0.103,398868,29,ppm
Puerto Rico,O3,44201,0.008971,0.047,10067,2,ppm
Rhode Island,O3,44201,0.032206,0.099,17271,4,ppm
South Carolina,O3,44201,0.030381,0.083,100545,12,ppm
South Dakota,O3,44201,0.031554,0.091,58686,5,ppm
Tennessee,O3,44201,0.032509,0.1,141709,18,ppm
Texas,O3,44201,0.029243,0.144,606923,61,ppm
Utah,O3,44201,0.036067,0.106,289675,28,ppm
Vermont,O3,44201,0.029499,0.085,23433,3,ppm
Virginia,O3,44201,0.029379,0.097,155722,15,ppm
Washington,O3,44201,0.028343,0.103,66815,12,ppm
West Virginia,O3,44201,0.029183,0.088,54786,7,ppm
Wisconsin,O3,44201,0.033477,0.109,167022,21,ppm
Wyoming,O3,44201,0.039093,0.101,209790,21,ppm
Alabama,NO2,42602,9.462754,57.8,11749,2,ppb
Arizona,NO2,42602,13.246798,66.0,76136,9,ppb
Arkansas,NO2,42602,3.397002,43.1,11240,2,ppb
California,NO2,42602,8.908919,85.6,656972,65,ppb
Colorado,NO2,42602,7.678211,67.3,119473,16,ppb
Connecticut,NO2,42602,9.812219,56.8,32336,4,ppb
Delaware,NO2,42602,8.763515,45.4,9900,1,ppb
District Of Columbia,NO2,42602,9.443462,57.8,41475,4,ppb
Florida,NO2,42602,8.139968,62.3,97400,13,ppb
Georgia,NO2,42602,12.94994,53.2,25124,3,ppb
Hawaii,NO2,42602,2.556269,30.8,8518,1,ppb
Idaho,NO2,42602,7.972173,52.6,8596,1,ppb
Illinois,NO2,42602,12.257439,136.3,62055,8,ppb
Indiana,NO2,42602,6.353212,92.8,42814,5,ppb
Iowa,NO2,42602,3.583881,56.5,19369,3,ppb
Kansas,NO2,42602,4.34492,53.2,37596,5,ppb
Kentucky,NO2,42602,7.001152,51.0,49318,7,ppb
Louisiana,NO2,42602,5.145866,53.3,74367,8,ppb
Maine,NO2,42602,3.890543,43.5,15152,2,ppb
Maryland,NO2,42602,8.943242,53.2,50664,6,ppb
Massachusetts,NO2,42602,6.592759,53.0,98511,11,ppb
Michigan,NO2,42602,9.236021,78.3,83903,12,ppb
Minnesota,NO2,42602,5.576752,48.4,51441,6,ppb
Mississippi,NO2,42602,3.641536,37.9,8123,1,ppb
Missouri,NO2,42602,8.972937,62.5,41607,5,ppb
Montana,NO2,42602,1.995652,53.0,60785,8,ppb
Nevada,NO2,42602,13.125316,70.2,57506,7,ppb
New Hampshire,NO2,42602,2.41936,33.9,8497,1,ppb
New Jersey,NO2,42602,11.978121,86.5,74693,8,ppb
New Mexico,NO2,42602,6.205993,73.2,93205,11,ppb
New York,NO2,42602,10.437265,68.0,64291,8,ppb
North Carolina,NO2,42602,6.810795,45.8,62901,7,ppb
North Dakota,NO2,42602,2.292993,37.1,68774,4,ppb
Ohio,NO2,42602,8.910431,75.0,58022,7,ppb
Oklahoma,NO2,42602,6.431607,48.0,31819,4,ppb
Oregon,NO2,42602,7.479152,33.4,16644,2,ppb
Pennsylvania,NO2,42602,7.313726,65.1,158565,19,ppb
Rhode Island,NO2,42602,9.78668,48.9,12147,2,ppb
South Carolina,NO2,42602,5.416777,45.0,25702,4,ppb
South Dakota,NO2,42602,5.242291,35.8,16947,2,ppb
Tennessee,NO2,42602,6.399537,79.0,31560,4,ppb
Texas,NO2,42602,6.509199,83.9,400546,47,ppb
Utah,NO2,42602,6.533941,56.9,255093,23,ppb
Vermont,NO2,42602,5.012211,28.9,8075,1,ppb
Virginia,NO2,42602,7.027549,60.6,102608,11,ppb
Washington,NO2,42602,12.475476,55.8,23707,3,ppb
Wisconsin,NO2,42602,6.825971,50.2,20161,3,ppb
Wyoming,NO2,42602,2.062572,45.8,158648,16,ppb
Alabama,CO,42101,0.17196,2.9,25225,4,ppm
Alaska,CO,42101,0.334508,7.785,15733,2,ppm
Arizona,CO,42101,0.319641,4.0,89324,11,ppm
Arkansas,CO,42101,0.190499,1.4,8304,1,ppm
California,CO,42101,0.32028,4.9,298816,37,ppm
Colorado,CO,42101,0.279771,3.65,43122,5,ppm
Connecticut,CO,42101,0.225447,3.996,16601,3,ppm
District Of Columbia,CO,42101,0.343919,1.768,16932,2,ppm
